** Data used to construct the annualized datasets was from the 12/31/2024 PV data release,,,,
Variable name,Variable type,Variable description,Originating bulk dataset,Notes
male_flag9,float," 1= male, 0= female, "" ""= gender not attributed",g_inventor_disambiguated,
men_inventors,float,number of men inventors,g_inventor_disambiguated,
n_cpc,float,number of unique cpc sections listed on the patent,g_cpc_at_issue,
n_ipc,float,number of unique ipc sections listed on the patent,g_ipc_at_issue,
n_wipo,float,number of unique wipo sectors listed on the patent,g_wipo_at_issue,some patent numbers occur more than once to reflect that some patents have more than one assignee
patent_number,str8,patent number,g_patent,applicable to only US assignees
state,str2,State of assignee,g_location_disambiguated,
team_size,float,number of inventors listed on patent,g_inventor_disambiguated,
wipo_field_ids,str32,two digit wipo field ids listed on patent,g_wipo_at_issue,
women_inventors,float,number of women inventors,g_inventor_disambiguated,
